genre,artist_name,track_name,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,item_id
Alternative,Rage Against The Machine,Testify,63,0.0261,0.47,210133,0.978,1.09e-05,G,0.356,-5.399,Major,0.0727,117.906,4/4,0.503,150
Alternative,Limp Bizkit,Rollin' (Air Raid Vehicle),70,0.00506,0.599,213760,0.932,0.0,A,0.269,-3.328,Major,0.18,96.234,4/4,0.692,173
Alternative,The Neighbourhood,Cry Baby,65,0.00269,0.581,235160,0.656,2.78e-06,E,0.101,-4.891,Minor,0.0294,108.033,4/4,0.338,106
Alternative,Mudvayne,Happy?,64,0.000823,0.546,216427,0.971,2.11e-05,F,0.275,-2.661,Minor,0.0965,100.078,4/4,0.383,300
Alternative,The 1975,I Always Wanna Die (Sometimes),64,0.00499,0.368,314663,0.511,0.000728,E,0.117,-5.477,Major,0.0329,149.243,4/4,0.0504,154
Alternative,Beastie Boys,Fight For Your Right,65,0.129,0.673,207400,0.72,0.0133,G#,0.0813,-10.411,Major,0.0376,133.62,4/4,0.6,220
Alternative,Pantera,Cowboys from Hell,67,0.00437,0.415,243533,0.908,0.0345,D,0.082,-9.701,Major,0.0765,114.816,4/4,0.437,284
Alternative,A Tribe Called Quest,Can I Kick It?,68,0.173,0.848,251573,0.666,0.000699,C,0.129,-6.547,Major,0.274,96.662,4/4,0.744,213
Alternative,Skillet,Not Gonna Die,62,0.0106,0.445,225280,0.953,0.0,F,0.281,-2.463,Minor,0.0704,172.063,4/4,0.475,296
Alternative,Solange,Almeda,63,0.0227,0.827,236120,0.553,1.52e-05,C#,0.176,-5.296,Major,0.032,110.015,4/4,0.0631,190
